IUSA Number,Y2019,Y2020,Y2021
40-437-9038,1,1,1
40-452-8256,1,1,1
40-458-6038,1,1,0
40-462-8944,1,1,1
40-462-8951,1,0,0
40-468-5432,1,1,1
40-468-5440,1,1,1
40-468-5450,1,1,0
40-468-5452,1,1,1
40-468-5458,1,1,0
40-468-5464,1,1,1
40-468-5467,1,1,1
40-478-9921,1,1,1
40-480-1304,1,1,1
40-480-1978,1,1,0
40-495-5744,1,1,1
40-614-5782,1,1,1
40-614-6484,1,1,0
40-615-6465,1,1,1
40-647-8966,1,1,1
40-647-9030,1,1,1
40-648-0020,1,1,1
40-859-7513,1,1,1
40-863-7814,1,1,1
40-863-8632,0,0,1
40-864-0172,1,1,1
40-864-4492,1,1,1
40-865-0062,1,1,1
40-865-0475,1,1,1
40-866-4153,1,1,1
40-866-4677,1,1,1
40-867-1421,1,1,1
40-868-1283,1,1,1
40-868-1657,1,0,0
40-868-1910,1,1,1
40-869-6022,1,1,1
40-869-6498,1,0,0
40-869-6673,1,1,1
40-869-8079,2,2,2
40-870-6032,1,1,1
40-927-0003,1,1,1
40-980-3399,1,1,1
41-202-4539,1,1,1
41-398-7653,1,1,1
41-400-1689,1,1,1
41-401-0620,1,1,1
41-401-3867,0,1,0
41-401-9417,0,1,1
41-401-9961,1,1,1
41-439-7069,1,0,0
41-445-2271,1,1,1
41-448-9055,1,1,1
41-513-8033,1,1,1
41-513-8059,1,1,1
41-513-8061,1,1,1
41-514-9561,1,1,1
41-515-9374,1,1,1
41-515-9380,1,1,1
41-520-5398,1,0,0
41-520-5406,1,1,1
41-535-1006,1,1,1
41-536-6202,1,1,1
41-537-2697,1,0,0
41-537-3679,1,1,1
41-537-4271,1,1,1
41-537-4438,1,1,1
41-537-6425,1,1,1
41-537-6508,1,1,1
41-537-6599,1,1,1
41-537-8892,1,1,1
41-538-0146,1,1,1
41-538-1466,1,1,1
41-538-2233,1,1,1
41-538-2803,1,1,1
41-538-3033,1,1,1
41-538-3561,1,1,1
41-538-3793,1,1,1
41-538-3976,1,1,1
41-538-6945,1,1,1
41-538-7182,1,1,1
41-538-7448,1,1,1
41-539-1131,1,1,1
41-539-1163,1,1,1
41-539-1164,1,1,1
41-539-1439,1,1,0
41-539-5847,1,1,1
41-539-7827,1,1,1
41-539-7843,1,1,1
41-539-7876,1,1,1
41-539-7983,1,1,1
41-539-8130,1,1,0
41-540-0415,1,1,1
41-542-1670,1,1,1
41-543-6919,1,1,1
41-544-6621,0,1,1
41-544-6671,1,1,1
41-545-3261,1,1,1
41-545-7727,1,0,1
41-545-7903,1,1,1
41-555-5603,1,1,1
41-555-5797,1,0,0
41-555-5802,1,1,1
41-557-4055,1,1,1
41-558-3151,1,1,1
41-565-8925,1,1,1
41-605-5470,1,1,1
41-605-7213,1,1,1
41-605-7395,1,1,1
41-607-5013,1,1,1
41-607-5047,1,1,1
41-628-6103,0,1,0
41-633-6732,1,1,1
41-636-5165,1,1,1
41-641-9285,1,1,1
41-643-1438,1,1,1
41-643-9804,1,1,1
41-647-4576,1,1,1
41-647-7448,1,1,1
41-649-8398,1,1,1
41-654-5193,1,1,1
41-665-2434,1,1,1
41-676-4379,1,1,1
41-676-7794,1,1,1
41-683-5459,1,0,0
41-686-1008,1,1,1
41-687-2137,1,1,1
41-713-1297,1,0,0
41-721-3887,1,1,1
41-727-4199,1,1,1
41-729-7650,1,1,1
41-732-6353,1,1,1
41-732-7696,0,1,1
41-733-1286,0,0,1
41-751-8567,1,1,1
41-751-8582,1,1,1
41-752-9810,1,1,1
41-752-9812,1,1,1
41-754-0918,1,1,1
41-754-1046,1,1,1
41-754-2606,1,1,1
41-755-0652,1,1,1
41-755-1477,1,1,1
41-755-2896,1,1,1
41-770-8151,1,1,1
41-774-9258,1,1,1
41-775-1132,1,1,1
41-775-3545,1,1,1
41-775-4416,1,1,1
41-775-7353,1,1,1
41-776-5579,1,1,1
41-776-8130,1,0,0
41-776-9896,1,1,1
41-777-5968,1,1,1
41-777-6588,1,1,1
41-777-7577,1,1,1
41-777-9479,1,1,1
41-778-3722,1,1,1
41-973-4564,1,1,1
41-987-3208,1,1,1
42-030-9111,1,0,0
42-036-3183,1,1,1
42-037-5745,1,0,0
42-039-9331,1,1,1
