IUSA Number,Y2019,Y2020,Y2021,Company Name,Address,City,State,ZIP Code,Primary SIC Description
11-846-6432,1,1,1,Dq Grill & Chill,2795 Saw Mill Run Blvd,Pittsburgh,PA,15227,Restaurants
11-846-7018,1,1,1,Fox's Pizza Den,1500 Radford Rd,Pittsburgh,PA,15227,Pizza
11-846-7505,1,1,1,Jb's Pizza Place,2513 Transport St,Pittsburgh,PA,15234,Pizza
11-846-9006,1,1,1,Pizza Hut,50 Towne Square Way,Pittsburgh,PA,15227,Pizza
11-846-9006,1,1,1,Pizza Hut,70 Towne Square Way,Pittsburgh,PA,15227,Pizza
11-846-9014,1,1,1,Pizza Shack Take & Bake LLC,3546 Saw Mill Run Blvd,Pittsburgh,PA,15227,Pizza
11-846-9618,1,1,0,South Hills Catering,247 Spencer Ave # 5,Pittsburgh,PA,15227,Caterers
11-847-2695,1,1,1,Amf Bowling Ctr,1601 Washington Rd,Pittsburgh,PA,15228,Bowling Centers
11-847-5367,1,1,1,Deblasio's,1717 Cochran Rd,Pittsburgh,PA,15220,Restaurants
11-847-5474,1,1,1,Rania's,100 Central Sq,Pittsburgh,PA,15228,Restaurants
11-847-5615,1,1,1,Saloon Of Mt Lebanon Inc,622 Washington Rd,Pittsburgh,PA,15228,Bars
11-847-7827,1,1,1,Chan's Tea House,1009 W View Park Dr,Pittsburgh,PA,15229,Restaurants
11-847-9310,1,1,1,Mamma Lucia Pizza,433 Wood St,Pittsburgh,PA,15222,Pizza
11-848-3460,1,1,1,Cappy's Cafe,5431 Walnut St,Pittsburgh,PA,15232,Restaurants
11-848-4005,1,1,1,Market District,5550 Centre Ave,Pittsburgh,PA,15232,Grocers-Retail
11-848-4344,1,1,1,Mario's East Side Saloon,5442 Walnut St,Pittsburgh,PA,15232,Restaurants
11-848-4625,1,1,1,Le Mardi Gras,731 Copeland St,Pittsburgh,PA,15232,Bars
11-848-5135,1,1,1,Pamela's Shadyside,5527 Walnut St,Pittsburgh,PA,15232,Restaurants
