Version Year,IUSA Number,Company Name,Address,City,State,ZIP Code,Primary SIC Description
2020,63-225-3779,Giovannis Pizza & Pasta,3047 W Liberty Ave,Pittsburgh,PA,15216,Pizza
2020,56-491-3341,Girasole,733 Copeland St # 1,Pittsburgh,PA,15232,Restaurants
2020,96-746-1476,Gloria Jean's Coffee,300 S Hills Vlg,Pittsburgh,PA,15241,Coffee Shops
2020,72-258-1706,Gluten Free Goat,4905 Penn Ave,Pittsburgh,PA,15224,Nonclassified Establishments
2020,22-953-8236,Golden Corral Buffet & Grill,900 Park Manor Blvd,Pittsburgh,PA,15205,Restaurants
2020,42-196-0761,Golden Palace Buffet,3607 Forbes Ave,Pittsburgh,PA,15213,Restaurants
2020,71-751-3351,Goldmark,4517 Butler St,Pittsburgh,PA,15201,Restaurants
2020,11-830-4997,Good Time Bar,1304 Walters Ave,Pittsburgh,PA,15209,Bars
2020,69-440-1498,Goodeelicious,3520 Brownsville Rd,Brentwood,PA,15227,Restaurants
2020,72-820-1787,Goodyhouse Chocolate Co,1503 E Carson St,Pittsburgh,PA,15203,Ice Cream Parlors
2020,94-617-9652,Gooski's,3117 Brereton St,Pittsburgh,PA,15219,Bars
2020,42-351-4357,Gordons Restaurant,806 Brookline Blvd,Pittsburgh,PA,15226,Restaurants
2020,56-494-8107,Gorman's Pub,3301 Saw Mill Run Blvd,Pittsburgh,PA,15227,Bars
2020,74-177-4866,Graeter's Ice Cream,437 Mount Lebanon Blvd,Pittsburgh,PA,15234,Ice Cream Parlors
2020,11-838-5111,Grand Concourse Restaurant,100 W Station Square Dr # 1,Pittsburgh,PA,15219,Restaurants
2020,97-478-6402,Grand Hall,614 Pressley St,Pittsburgh,PA,15212,Caterers
2020,68-538-9918,Grandma B's Cafe,2537 Wylie Ave,Pittsburgh,PA,15219,Restaurants
2020,40-336-4184,Grandma Rose's Pastry Shop,2311 Babcock Blvd,Pittsburgh,PA,15237,Bakers-Retail
2020,60-327-9522,Grandview Saloon,1212 Grandview Ave,Pittsburgh,PA,15211,Restaurants
2020,00-326-1245,Grant Bar Inc,114 Grant Ave,Pittsburgh,PA,15209,Restaurants
2020,11-826-8341,Grant St Tavern,310 Grant St # A,Pittsburgh,PA,15219,Restaurants
2020,58-871-6399,Graziano's Pizzeria,4109 Penn Ave,Pittsburgh,PA,15224,Pizza
2020,72-357-3190,Great Escape Room,428 Forbes Ave # 1,Pittsburgh,PA,15219,Restaurants
2020,44-665-8858,Great Hall,1003 Perry Hwy,Pittsburgh,PA,15237,Caterers
2020,70-506-9170,Great Harvest Bread,6401 Penn Ave # 470b,Pittsburgh,PA,15206,Bakers-Retail
2020,35-834-5742,Grecian Isles,600 Grant St # 10,Pittsburgh,PA,15219,Restaurants
2020,11-836-0510,Greek Gourmet,2130 Murray Ave,Pittsburgh,PA,15217,Grocers-Retail
2020,40-237-2397,Green Bamboo,472 44th St,Pittsburgh,PA,15201,Restaurants
2020,70-586-4991,Green Beans Coffee Co Inc,1000 Airport Blvd,Pittsburgh,PA,15231,Coffee Shops
2020,43-696-9123,Green Dragon Coffee LLC,922 Western Ave,Pittsburgh,PA,15233,Coffee Shops
2020,56-482-7673,Green Forest Brazilian Rstrnt,655 Rodi Rd # 1,Pittsburgh,PA,15235,Restaurants
2020,11-827-5726,Green Front Inn,2341 E Carson St,Pittsburgh,PA,15203,Restaurants
2020,56-653-0390,Green Garden,300 Beverly Rd # C,Pittsburgh,PA,15216,Restaurants
2020,44-056-8495,Green Leaf's,1000 Ross Park Mall Dr,Pittsburgh,PA,15237,Restaurants
2020,69-440-6778,Green Mango,3454 William Penn Hwy,Pittsburgh,PA,15235,Restaurants
2020,74-383-2554,Grind,650 Smithfield St,Pittsburgh,PA,15222,Coffee Shops
2020,11-844-0684,Grippo Enterprises,20 Market Sq,Pittsburgh,PA,15222,Restaurants
2020,72-968-6952,Grounded Cafe & Beanery LLC,7 Parkway Ctr,Pittsburgh,PA,15220,Restaurants
2020,31-591-8318,Grove,395 Jacks Run Rd,Pittsburgh,PA,15202,Restaurants
2020,72-229-1485,Gutbubs,292 Beverly Rd,Pittsburgh,PA,15216,Restaurants
2020,41-538-7182,Guyasuta Lounge,1004 N Canal St,Pittsburgh,PA,15215,Bars
2020,42-206-5449,H & H Lounge,1903 Leechburg Rd,Pittsburgh,PA,15235,Bars
2020,97-510-3086,H Mak Co,3 Beta Dr,Pittsburgh,PA,15238,Restaurants
2020,65-726-5898,Hal's Bar & Grille,3225 Babcock Blvd,Pittsburgh,PA,15237,Restaurants
2020,42-513-9983,Halftime Lounge,1413 Cathell Rd,Pittsburgh,PA,15236,Cocktail Lounges
2020,11-826-0512,Hambone's,4207 Butler St,Pittsburgh,PA,15201,Restaurants
2020,74-392-1945,Hamsah Mediteranean Grill,4371 Murray Ave,Pittsburgh,PA,15217,Restaurants
2020,41-754-2606,Handel's Homemade Ice Cream,9020 St Simon Way,Pittsburgh,PA,15237,Ice Cream Parlors
2020,42-512-5480,Hanlons Cafe,17 Foster Ave,Pittsburgh,PA,15205,Restaurants
2020,74-385-3885,Hannadin's Pizza-Mediteranean,2147 Ardmore Blvd,Pittsburgh,PA,15221,Foods-Carry Out
2020,74-620-2534,Hapa Hawaiian Grill,1334 5th Ave,Pittsburgh,PA,15219,Restaurants
2020,71-151-9982,Happy Vegan Cafe & Juice Bar,1717 Babcock Blvd,Pittsburgh,PA,15209,Restaurants
2020,21-873-2436,Hard Rock Cafe,230 W Station Square Dr,Pittsburgh,PA,15219,Restaurants
2020,74-201-4650,Harper,1251 Waterfront Pl # 201,Pittsburgh,PA,15222,Restaurants
2020,40-468-5467,Harris Grill,5747 Ellsworth Ave,Pittsburgh,PA,15232,Restaurants
2020,42-040-2263,Havana,200 Shiloh St,Pittsburgh,PA,15211,Restaurants
2020,35-832-0133,Have Smoke Will Travel,307 Dunlap St,Pittsburgh,PA,15214,Caterers
2020,42-040-2236,Heartland Restaurant Group LLC,2071 Ardmore Blvd,Pittsburgh,PA,15221,Restaurant Management
2020,71-938-3009,Heavenly Cuisine Cstm Catering,234 Seavey Rd,Pittsburgh,PA,15223,Caterers
